Întrebare;A;B;C;D;R?spuns corect
Ce este un dialog?;O propozi?ie scurt?;O conversa?ie între dou? sau mai multe persoane;Un text narativ;Un cuvânt compus;B
Care dintre urm?toarele cuvinte începe cu litera „î”?;Înalt;Cântec;Mare;Alerg;A
Ce trebuie s? con?in? o propozi?ie?;Doar verbe;Un grup de cuvinte cu sens complet;Un nume de persoan?;Numai adjective;B
Ce este alfabetul?;Un text literar;O poezie;Un set de litere folosite pentru a scrie cuvinte;Un tip de propozi?ie;C
În care dintre urm?toarele cuvinte scriem litera „â”?;Înv??at;Cântec;Coborî;Înalt;B
Care dintre urm?toarele propozi?ii este corect??;Ast?zi m?nânc o carte.;Ast?zi citesc o carte.;Ast?zi c?r?ile zboar?.;Ast?zi dorm în carte.;B
Care este semnul de punctua?ie folosit la finalul unei propozi?ii de întrebare?;Punct;Semnul exclam?rii;Virgula;Semnul întreb?rii;D
Ce g?sim într-o bibliotec??;C?r?i;Juc?rii;Alimente;Haine;A
Ce este un text narativ?;Un text care prezint? evenimente ?i fapte într-o ordine cronologic?;Un set de reguli de punctua?ie;O list? de cuvinte;O poezie cu rime;A
Care dintre urm?toarele cuvinte con?ine grupul de litere „ci”?;Cercel;Minge;Copac;Scaun;A
Ce este un dialog?;O propozi?ie scurt?;O conversa?ie între dou? sau mai multe persoane;Un text narativ;Un cuvânt compus;B
Care dintre urm?toarele cuvinte începe cu litera „î”?;Înalt;Cântec;Mare;Alerg;A
Ce trebuie s? con?in? o propozi?ie?;Doar verbe;Un grup de cuvinte cu sens complet;Un nume de persoan?;Numai adjective;B
Ce este alfabetul?;Un text literar;O poezie;Un set de litere folosite pentru a scrie cuvinte;Un tip de propozi?ie;C
În care dintre urm?toarele cuvinte scriem litera „â”?;Înv??at;Cântec;Coborî;Înalt;B
Care dintre urm?toarele propozi?ii este corect??;Ast?zi m?nânc o carte.;Ast?zi citesc o carte.;Ast?zi c?r?ile zboar?.;Ast?zi dorm în carte.;B
Care este semnul de punctua?ie folosit la finalul unei propozi?ii de întrebare?;Punct;Semnul exclam?rii;Virgula;Semnul întreb?rii;D
Ce g?sim într-o bibliotec??;C?r?i;Juc?rii;Alimente;Haine;A
Ce este un text narativ?;Un text care prezint? evenimente ?i fapte într-o ordine cronologic?;Un set de reguli de punctua?ie;O list? de cuvinte;O poezie cu rime;A
Care dintre urm?toarele cuvinte con?ine grupul de litere „ci”?;Cercel;Minge;Copac;Scaun;A
Ce este un dialog?;O propozi?ie scurt?;O conversa?ie între dou? sau mai multe persoane;Un text narativ;Un cuvânt compus;B
Care dintre urm?toarele cuvinte începe cu litera „î”?;Înalt;Cântec;Mare;Alerg;A
Ce trebuie s? con?in? o propozi?ie?;Doar verbe;Un grup de cuvinte cu sens complet;Un nume de persoan?;Numai adjective;B
Ce este alfabetul?;Un text literar;O poezie;Un set de litere folosite pentru a scrie cuvinte;Un tip de propozi?ie;C
În care dintre urm?toarele cuvinte scriem litera „â”?;Înv??at;Cântec;Coborî;Înalt;B
Care dintre urm?toarele propozi?ii este corect??;Ast?zi m?nânc o carte.;Ast?zi citesc o carte.;Ast?zi c?r?ile zboar?.;Ast?zi dorm în carte.;B
Care este semnul de punctua?ie folosit la finalul unei propozi?ii de întrebare?;Punct;Semnul exclam?rii;Virgula;Semnul întreb?rii;D
Ce g?sim într-o bibliotec??;C?r?i;Juc?rii;Alimente;Haine;A
Ce este un text narativ?;Un text care prezint? evenimente ?i fapte într-o ordine cronologic?;Un set de reguli de punctua?ie;O list? de cuvinte;O poezie cu rime;A
Care dintre urm?toarele cuvinte con?ine grupul de litere „ci”?;Cercel;Minge;Copac;Scaun;A
Ce este un dialog?;O propozi?ie scurt?;O conversa?ie între dou? sau mai multe persoane;Un text narativ;Un cuvânt compus;B
Care dintre urm?toarele cuvinte începe cu litera „î”?;Înalt;Cântec;Mare;Alerg;A
Ce trebuie s? con?in? o propozi?ie?;Doar verbe;Un grup de cuvinte cu sens complet;Un nume de persoan?;Numai adjective;B
Ce este alfabetul?;Un text literar;O poezie;Un set de litere folosite pentru a scrie cuvinte;Un tip de propozi?ie;C
În care dintre urm?toarele cuvinte scriem litera „â”?;Înv??at;Cântec;Coborî;Înalt;B
Care dintre urm?toarele propozi?ii este corect??;Ast?zi m?nânc o carte.;Ast?zi citesc o carte.;Ast?zi c?r?ile zboar?.;Ast?zi dorm în carte.;B
Care este semnul de punctua?ie folosit la finalul unei propozi?ii de întrebare?;Punct;Semnul exclam?rii;Virgula;Semnul întreb?rii;D
Ce g?sim într-o bibliotec??;C?r?i;Juc?rii;Alimente;Haine;A
Ce este un text narativ?;Un text care prezint? evenimente ?i fapte într-o ordine cronologic?;Un set de reguli de punctua?ie;O list? de cuvinte;O poezie cu rime;A
Care dintre urm?toarele cuvinte con?ine grupul de litere „ci”?;Cercel;Minge;Copac;Scaun;A
Ce este un dialog?;O propozi?ie scurt?;O conversa?ie între dou? sau mai multe persoane;Un text narativ;Un cuvânt compus;B
Care dintre urm?toarele cuvinte începe cu litera „î”?;Înalt;Cântec;Mare;Alerg;A
Ce trebuie s? con?in? o propozi?ie?;Doar verbe;Un grup de cuvinte cu sens complet;Un nume de persoan?;Numai adjective;B
Ce este alfabetul?;Un text literar;O poezie;Un set de litere folosite pentru a scrie cuvinte;Un tip de propozi?ie;C
În care dintre urm?toarele cuvinte scriem litera „â”?;Înv??at;Cântec;Coborî;Înalt;B
Care dintre urm?toarele propozi?ii este corect??;Ast?zi m?nânc o carte.;Ast?zi citesc o carte.;Ast?zi c?r?ile zboar?.;Ast?zi dorm în carte.;B
Care este semnul de punctua?ie folosit la finalul unei propozi?ii de întrebare?;Punct;Semnul exclam?rii;Virgula;Semnul întreb?rii;D
Ce g?sim într-o bibliotec??;C?r?i;Juc?rii;Alimente;Haine;A
Ce este un text narativ?;Un text care prezint? evenimente ?i fapte într-o ordine cronologic?;Un set de reguli de punctua?ie;O list? de cuvinte;O poezie cu rime;A
Care dintre urm?toarele cuvinte con?ine grupul de litere „ci”?;Cercel;Minge;Copac;Scaun;A
