Întrebare,A,B,C,D,Răspuns corect
Ce este un dialog?,O propoziție scurtă,O conversație între două sau mai multe persoane,Un text narativ,Un cuvânt compus,B
Care dintre următoarele cuvinte începe cu litera „î”?,Înalt,Cântec,Mare,Alerg,A
Ce trebuie să conțină o propoziție?,Doar verbe,Un grup de cuvinte cu sens complet,Un nume de persoană,Numai adjective,B
Ce este alfabetul?,Un text literar,O poezie,Un set de litere folosite pentru a scrie cuvinte,Un tip de propoziție,C
În care dintre următoarele cuvinte scriem litera „â”?,Învățat,Cântec,Coborî,Înalt,B
Care dintre următoarele propoziții este corectă?,Astăzi mănânc o carte.,Astăzi citesc o carte.,Astăzi cărțile zboară.,Astăzi dorm în carte.,B
Care este semnul de punctuație folosit la finalul unei propoziții de întrebare?,Punct,Semnul exclamării,Virgula,Semnul întrebării,D
Ce găsim într-o bibliotecă?,Cărți,Jucării,Alimente,Haine,A
Ce este un text narativ?,Un text care prezintă evenimente și fapte într-o ordine cronologică,Un set de reguli de punctuație,O listă de cuvinte,O poezie cu rime,A
Care dintre următoarele cuvinte conține grupul de litere „ci”?,Cercel,Minge,Copac,Scaun,A
Ce este un dialog?,O propoziție scurtă,O conversație între două sau mai multe persoane,Un text narativ,Un cuvânt compus,B
Care dintre următoarele cuvinte începe cu litera „î”?,Înalt,Cântec,Mare,Alerg,A
Ce trebuie să conțină o propoziție?,Doar verbe,Un grup de cuvinte cu sens complet,Un nume de persoană,Numai adjective,B
Ce este alfabetul?,Un text literar,O poezie,Un set de litere folosite pentru a scrie cuvinte,Un tip de propoziție,C
În care dintre următoarele cuvinte scriem litera „â”?,Învățat,Cântec,Coborî,Înalt,B
Care dintre următoarele propoziții este corectă?,Astăzi mănânc o carte.,Astăzi citesc o carte.,Astăzi cărțile zboară.,Astăzi dorm în carte.,B
Care este semnul de punctuație folosit la finalul unei propoziții de întrebare?,Punct,Semnul exclamării,Virgula,Semnul întrebării,D
Ce găsim într-o bibliotecă?,Cărți,Jucării,Alimente,Haine,A
Ce este un text narativ?,Un text care prezintă evenimente și fapte într-o ordine cronologică,Un set de reguli de punctuație,O listă de cuvinte,O poezie cu rime,A
Care dintre următoarele cuvinte conține grupul de litere „ci”?,Cercel,Minge,Copac,Scaun,A
Ce este un dialog?,O propoziție scurtă,O conversație între două sau mai multe persoane,Un text narativ,Un cuvânt compus,B
Care dintre următoarele cuvinte începe cu litera „î”?,Înalt,Cântec,Mare,Alerg,A
Ce trebuie să conțină o propoziție?,Doar verbe,Un grup de cuvinte cu sens complet,Un nume de persoană,Numai adjective,B
Ce este alfabetul?,Un text literar,O poezie,Un set de litere folosite pentru a scrie cuvinte,Un tip de propoziție,C
În care dintre următoarele cuvinte scriem litera „â”?,Învățat,Cântec,Coborî,Înalt,B
Care dintre următoarele propoziții este corectă?,Astăzi mănânc o carte.,Astăzi citesc o carte.,Astăzi cărțile zboară.,Astăzi dorm în carte.,B
Care este semnul de punctuație folosit la finalul unei propoziții de întrebare?,Punct,Semnul exclamării,Virgula,Semnul întrebării,D
Ce găsim într-o bibliotecă?,Cărți,Jucării,Alimente,Haine,A
